Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
When was the first practical commercial typewriter marketed ?|When|When was|WRB|VBD|VBD|NUM
What is a drought ?|What|What is|WP|VBZ|VBZ|DESC
What are the benefits of home school ?|What|What are|WP|VBP|VBP|DESC
What Scandinavian country covers 173 , 732 square miles ?|What|What Scandinavian|WDT|JJ|VBZ|LOC
What is the best-selling book of all time ?|What|What is|WP|VBZ|VBZ|ENTY
What do Hank Aaron , Jimmy Stewart , and Howard K. Smith have in common ?|What|What do|WP|VBP|VBP|DESC
What are the first six words of Dickens's A Tale of Two Cities ?|What|What are|WP|VBP|VBP|ENTY
How long would it take to get from Earth to Mars ?|How|How long|WRB|RB|VB|NUM
Where can I get mailing lists ?|Where|Where can|WRB|MD|VB|LOC
What city boasts the Billingsgate fishmarket ?|What|What city|WDT|NN|VBZ|LOC
Who is the owner of CNN ?|Who|Who is|WP|VBZ|VBZ|HUM
How long was the OJ Simpson trial ?|How|How long|WRB|JJ|VBD|NUM
What country lies directly south of Detroit ?|What|What country|WDT|NN|VBZ|LOC
Where did surfing originate ?|Where|Where did|WRB|VBD|RB|LOC
Why was Henry Ford's first automobile calleda Model T & his second type of automobile , introduced in 1928 , called a Model A ?|Why|Why was|WRB|VBD|VBN|DESC
How do companies cut paper so thin ?|How|How do|WRB|VBP|VB|DESC
What is the tallest mountain ?|What|What is|WP|VBZ|VBZ|LOC
What is '' the computer for the rest of us '' ?|What|What is|WP|VBZ|VBZ|DESC
What nuclear process takes place in an H-bomb ?|What|What nuclear|WDT|JJ|VBZ|DESC
What's the maximum number of clubs a golfer may use in a round ?|What|What 's|WP|VBZ|VBZ|NUM
What card suit originally represented the peasant class ?|What|What card|WDT|NN|VBD|ENTY
What's the Hungarian word for pepper ?|What|What 's|WP|VBZ|VBZ|ENTY
What does the Peugeot company manufacture ?|What|What does|WP|VBZ|VB|ENTY
How many different countries export coffee ?|How|How many|WRB|JJ|NN|NUM
What is a fear of everything ?|What|What is|WP|VBZ|VBZ|ENTY
How many continents are there ?|How|How many|WRB|JJ|VBP|NUM
Which mayonnaise refers to itself as '' real '' mayonnaise ?|Which|Which mayonnaise|WDT|NN|VBZ|ENTY
What is office automation ?|What|What is|WP|VBZ|VBZ|DESC
What instrument does Benny Carter play ?|What|What instrument|WDT|NN|NN|ENTY
What knighted actor narrates TV's The World at War ?|What|What knighted|WP|VBD|VBZ|HUM
What eating utensils are used for handicapped kids ?|What|What eating|WP|VBG|VBN|ENTY
What football coach's story was told in the movie Run to Daylight ?|What|What football|WDT|NN|VBN|HUM
What businesses in Alaska were affected by the Exxon Valdez oil spill ?|What|What businesses|WDT|NNS|VBN|HUM
What does Lloyd's Lutine Bell announce ?|What|What does|WP|VBZ|NN|DESC
When did the Chernobyl nuclear accident occur ?|When|When did|WRB|VBD|VBP|NUM
Where did the Maya people live ?|Where|Where did|WRB|VBD|VBP|LOC
What do opposite faces of a die always add up to ?|What|What do|WP|VBP|VB|ENTY
What was the name of Randy Craft's lawyer ?|What|What was|WP|VBD|VBD|HUM
What is '' cat scratch fever '' ?|What|What is|WP|VBZ|VBZ|DESC
Kosovo is a province of what country ?|what|what country|WP|NN|VBZ|LOC
What New England state covers 5.9 square miles ?|What|What New|WP|NNP|VBZ|LOC
What is the abbreviation for Original Equipment Manufacturer ?|What|What is|WP|VBZ|VBZ|ABBR
Hitler came to power in Germany in what year ?|what|what year|WDT|NN|VBD|NUM
Who markets Spaghetti-o's ?|Who|Who markets|WP|VBZ|VBZ|HUM
What did the ancients call the four great elements ?|What|What did|WP|VBD|VB|ENTY
Where are the Haversian canals ?|Where|Where are|WRB|VBP|VBP|LOC
What animal's tail is called a brush ?|What|What animal|WDT|NN|VBN|ENTY
How many people die from tuberculosis each year ?|How|How many|WRB|JJ|VBP|NUM
What were the names of the three ships used by Columbus ?|What|What were|WP|VBD|VBD|ENTY
Who co-starred with Julie Andrews in Mary Poppins ?|Who|Who co|WP|NNP|NNP|HUM
Where can I find the status of my tax return ?|Where|Where can|WRB|MD|VB|LOC
What is the horsepower of the shuttle boosters ?|What|What is|WP|VBZ|VBZ|NUM
What is predicted to topple over between 2010 and 2020 ?|What|What is|WP|VBZ|VBN|ENTY
How do wasps make their nests ?|How|How do|WRB|VBP|VB|DESC
When was General Manuel Noriega ousted as the leader of Panama and turned over to U.S. authorities ?|When|When was|WRB|VBD|VBD|NUM
How many years of bad luck follow breaking a mirror ?|How|How many|WRB|JJ|VBP|NUM
What kind of crystals exist ?|What|What kind|WDT|NN|VBP|ENTY
Which is the best opening move in chess ?|Which|Which is|WDT|VBZ|VBZ|ENTY
What do ladybugs eat ?|What|What do|WP|VBP|VB|ENTY
Who was Ezra Taft Benson ?|Who|Who was|WP|VBD|VBD|HUM
What is the Taj Majal made of ?|What|What is|WP|VBZ|VBZ|ENTY
Where is the Kentucky Horse Park ?|Where|Where is|WRB|VBZ|VBZ|LOC
What Argentine boxer was shot dead outside a Nevada brothel in May ?|What|What Argentine|WDT|JJ|VBN|HUM
What country boasts the most cars per mile of road ?|What|What country|WP|NN|VBZ|LOC
How come a doughnut has a hole in it ?|How|How come|WRB|VBP|VBZ|DESC
What happened to Pompeii ?|What|What happened|WP|VBD|VBD|DESC
What does a farrier put shoes on ?|What|What does|WP|VBZ|VBZ|ENTY
What does saliva consist of ?|What|What does|WP|VBZ|VB|ENTY
What is Jimmy Olsen's full name ?|What|What is|WP|VBZ|VBZ|HUM
How many people have died of tuberculosis ?|How|How many|WRB|JJ|VBN|NUM
What is another name for nearsightedness ?|What|What is|WP|VBZ|VBZ|ENTY
How many days does a typical mayfly live ?|How|How many|WRB|JJ|VB|NUM
What famous New York City mayor wrote the hit song , '' Will You Love Me in December as You Do in May ? ''|What|What famous|WP|JJ|VBD|HUM
What Russian city used to be called St. Petersburg and Petrograd ?|What|What Russian|WDT|JJ|VBD|LOC
What is the definition of a witch ?|What|What is|WP|VBZ|VBZ|DESC
What are the cookies in Internet ?|What|What are|WP|VBP|VBP|DESC
How many votes in Congress dissented from the 1941 declaration of war with Japan ?|How|How many|WRB|JJ|VBD|NUM
Who is Pia Zadora's millionaire husband and mentor ?|Who|Who is|WP|VBZ|VBZ|HUM
What U.S. President was the first to breed mules ?|What|What U.S.|WP|NNP|VBD|HUM
What is the difference between molecules and compounds ?|What|What is|WP|VBZ|VBZ|DESC
What astronomer-architect designed the present St. Paul's Cathedral in London ?|What|What astronomer|WDT|NN|VBD|HUM
Why are so many umbrellas black ?|Why|Why are|WRB|VBP|VBP|DESC
What feminist wrote Sexual Politics and Flying ?|What|What feminist|WP|NN|VBD|HUM
Who was the first American world chess champion ?|Who|Who was|WP|VBD|VBD|HUM
What is the zodiac sign for August 14 ?|What|What is|WP|VBZ|VBZ|ENTY
Who was the last woman executed in England ?|Who|Who was|WP|VBD|VBD|HUM
How many school districts are there in the United States ?|How|How many|WRB|JJ|VBP|NUM
How long did the Paris Commune hold out for against the rest of France ?|How|How long|WRB|RB|VBP|NUM
What university football team did O.J. Simpson take to the Rose Bowl ?|What|What university|WP|NN|VB|HUM
What does snafu stand for ?|What|What does|WP|VBZ|VB|ABBR
What color is Chablis ?|What|What color|WDT|NN|VBZ|ENTY
What NFL team did Vince Lombardi end his coaching career with ?|What|What NFL|WP|NNP|VB|HUM
How much iron is in your body ?|How|How much|WRB|JJ|VBZ|NUM
What is the difference between fatalism and determinism ?|What|What is|WP|VBZ|VBZ|DESC
When did Thatcher become prime minister ?|When|When did|WRB|VBD|VB|NUM
What are some good fractal web sites ?|What|What are|WP|VBP|VBP|LOC
What country imposed the Berlin Blockade in 1948 ?|What|What country|WDT|NN|VBD|LOC
What future movie treat was introduced to American colonists in 1603 by Native Americans ?|What|What future|WDT|JJ|VBN|ENTY
How do cameras take pictures ?|How|How do|WRB|VBP|VB|DESC
How much do drugs to treat tuberculosis cost ?|How|How much|WRB|JJ|VBP|NUM
Who is Prince Naseem Hamed ?|Who|Who is|WP|VBZ|VBZ|HUM
What kind of habitat does the scorpion live in ?|What|What kind|WDT|NN|VB|LOC
How many logarithmic scales are there on a slide rule ?|How|How many|WRB|JJ|VBP|NUM
Where is Webster University ?|Where|Where is|WRB|VBZ|VBZ|LOC
What sports magazine has the largest circulation ?|What|What sports|WDT|NNS|VBZ|ENTY
What is the legal blood alcohol limit for the state of California ?|What|What is|WP|VBZ|VBZ|ENTY
How hot should the oven be when making Peachy Oat Muffins ?|when|How hot when making|WRB|VBG|VB|NUM
How old is Britney Spears ?|How|How old|WRB|JJ|VBZ|NUM
Where can I get piano music for the Jamiroquai song Everyday for the midi ?|Where|Where can|WRB|MD|VB|LOC
Why is Microsoft's Windows 3 such a successful computer program ?|Why|Why is|WRB|VBZ|VBZ|DESC
What country's capital was formed when Pesth and Buda merged ?|when|What country when Pesth|WRB|NNP|VBN|LOC
What is the origin of U.S. Army sergeant's stripes ?|What|What is|WP|VBZ|VBZ|DESC
What is proposition 98 about ?|What|What is|WP|VBZ|VBZ|DESC
What town was the setting for The Music Man ?|What|What town|WDT|NN|VBD|LOC
What was Simple Simon fishing for in his mother's pail ?|What|What was|WP|VBD|VBD|ENTY
What did Woody Allen call the Japanese gangster film he dubbed into English as a comedy ?|What|What did|WP|VBD|VB|ENTY
Why does a candle go out when we blow on it ?|when|Why does when we|WRB|PRP|VB|DESC
What title does comedian Henry Youngman claim ?|What|What title|WDT|NN|VBP|HUM
What is '' the taste that beats the others cold '' ?|that|What is that beats|WDT|VBZ|VBZ|ENTY
Who made the first airplane that could fly ?|that|Who made that could|WDT|MD|VBD|HUM
What kind of sports did they play in the years 1642-1649 , the English Civil War time ?|What|What kind|WDT|NN|VB|ENTY
Where can I find scientific data , '' research papers , '' on textile engineering ?|Where|Where can|WRB|MD|VB|LOC
What makes salt ?|What|What makes|WP|VBZ|VBZ|DESC
How many people die from snakebite poisoning in the U.S. per year ?|How|How many|WRB|JJ|VBP|NUM
How high is the city of Denver ?|How|How high|WRB|JJ|VBZ|NUM
Who was International Olympic Committee chairman at the 1936 Summer Games ?|Who|Who was|WP|VBD|VBD|HUM
When was Florida admitted into the Union ?|When|When was|WRB|VBD|VBD|NUM
What company has built more than 2.5 billion little green houses since 1935 ?|What|What company|WDT|NN|VBN|HUM
How many times a year does the American Gourd Society publish The Gourd ?|How|How many|WRB|JJ|VB|NUM
Where can I read about Abraham Lincoln ?|Where|Where can|WRB|MD|VB|LOC
What will the increase be in the California gas tax by 2000 ?|What|What will|WP|MD|VB|NUM
How far is the longest hole in 1 on any golf course and where did it happen ?|where|How far where did|WRB|VBD|VB|NUM
What whisky is '' known by the company it keeps '' ?|What|What whisky|WDT|NN|VBN|ENTY
What appointments secretary to Richard Nixon went to jail ?|What|What appointments|WP|NNS|VBD|HUM
Who released the Internet worm in the late 1980s ?|Who|Who released|WP|VBD|VBD|HUM
What is the name of the American who was captured when his plane went down over Syrian-held Lebanon ?|when|What is who was when his|WRB|PRP$|VBZ|HUM
Where does the expression '' cloud nine '' come from ?|Where|Where does|WRB|VBZ|VBN|DESC
What is lung cancer ?|What|What is|WP|VBZ|VBZ|DESC
What school does Tom attend in Tom Brown's School Days ?|What|What school|WDT|NN|VB|HUM
What basketball player is credited with 23 , 924 rebounds ?|What|What basketball|WDT|NN|VBN|HUM
How big is a normal size penis for a 15-year-old ?|How|How big|WRB|JJ|VBZ|NUM
What does Playboy title its '' continuing dialog on contemporary issues between Playboy and its readers '' ?|What|What does|WP|VBZ|VB|ENTY
How many American soldiers remain unaccounted from the Vietnam war ?|How|How many|WRB|JJ|VBP|NUM
Where can I find a tape or book to help me say , write and understand Japanese ?|Where|Where can|WRB|MD|VB|LOC
How many cables support the main span of the Golden Gate Bridge ?|How|How many|WRB|JJ|VBP|NUM
How much did Manchester United spend on players in 1993 ?|How|How much|WRB|JJ|VB|NUM
What was the birthplace of Edgar Allen Poe ?|What|What was|WP|VBD|VBD|LOC
Why were red M&Ms discontinued then brought back ?|Why|Why were|WRB|VBD|VBN|DESC
What does it take to become a lawyer ?|What|What does|WP|VBZ|VB|ENTY
What American sergeant lost both of his hands in combat during World War II and then went on to act in a single movie for which he won two Oscars ?|which|What American which he|WDT|PRP|VBD|HUM
Who invented the fountain ?|Who|Who invented|WP|VBD|VBD|HUM
What room did W.C. Fields keep his library in ?|What|What room|WDT|NN|VB|LOC
What causes an earthquake ?|What|What causes|WP|VBZ|VBZ|DESC
What Batman character tools around on a Batcycle ?|What|What Batman|WP|NNP|VBZ|HUM
What are the main blood vessels ?|What|What are|WP|VBP|VBP|ENTY
What does '' saute '' mean ?|What|What does|WP|VBZ|VB|DESC
Where can I find the schematics to the windshield wiper mechanism ?|Where|Where can|WRB|MD|VB|LOC
What type is a snail ?|What|What type|WDT|NN|VBZ|ENTY
Who was Sherlock Holmes's archenemy ?|Who|Who was|WP|VBD|VBD|HUM
Where is '' Global Schoolhouse '' ?|Where|Where is|WRB|VBZ|VBZ|LOC
How many years of schooling after highschool does it take to become a neurosurgeon ?|How|How many|WRB|JJ|VB|NUM
What are the top vegetable crops in the world ?|What|What are|WP|VBP|VBP|ENTY
What volcano showers ash on Sicily ?|What|What volcano|WP|NN|NN|LOC
Where are the U.S. headquarters for Procter & Gamble ?|Where|Where are|WRB|VBP|VBP|LOC
Why did the Aztecs first think the Spanish were Gods ?|Why|Why did|WRB|VBD|VBP|DESC
What are the rules to '' snow golf '' ?|What|What are|WP|VBP|VBP|DESC
What does Warner Bros. call a flightless cuckoo ?|What|What does|WP|VBZ|VBP|ENTY
When did Mount St. Helen last have a major eruption ?|When|When did|WRB|VBD|VBP|NUM
How do you say '' eat the day '' in Latin ?|How|How do|WRB|VBP|VB|ENTY
What are super balls made of ?|What|What are|WP|VBP|VBP|ENTY
What's the name of Tom Sawyer's aunt with whom he lives ?|whom|What 's whom he|WP|PRP|VBZ|HUM
What is the fastest-growing comic strip of all time ?|What|What is|WP|VBZ|VBZ|ENTY
Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?|Which|Which member|WDT|NN|VBD|HUM
What doctor claimed in a 1946 book : '' There is no such thing as a bad boy '' ?|What|What doctor|WDT|NN|VBD|HUM
How long has L.L. Cool J. been married ?|How|How long|WRB|JJ|VBN|NUM
How much did a knight's armor weigh ?|How|How much|WRB|JJ|VB|NUM
What comedian created a punch-drunk pugilist named Cauliflower McPugg ?|What|What comedian|WDT|NN|VBD|HUM
What is the movie Jonathan Livingstone Seagull ?|What|What is|WP|VBZ|VBZ|ENTY
How tall is Prince Charles ?|How|How tall|WRB|JJ|VBZ|NUM
What is the weight of air ?|What|What is|WP|VBZ|VBZ|NUM
What is a fear of children ?|What|What is|WP|VBZ|VBZ|ENTY
What is ouzo ?|What|What is|WP|VBZ|VBZ|DESC
What race is 1 , 137 miles long ?|What|What race|WDT|NN|VBZ|ENTY
What is the capital of Uruguay ?|What|What is|WP|VBZ|VBZ|LOC
What does the T.S. stand for in T.S. Eliot's name ?|What|What does|WP|VBZ|VB|ABBR
How long is the world's largest ship , in meters ?|How|How long|WRB|JJ|VBZ|NUM
Who is William Wordsworth ?|Who|Who is|WP|VBZ|VBZ|HUM
What is making love ?|What|What is|WP|VBZ|VBG|DESC
Who is Charles Lindbergh ?|Who|Who is|WP|VBZ|VBZ|HUM
How tall is the replica of the Matterhorn at Disneyland ?|How|How tall|WRB|JJ|VBZ|NUM
What are the largest deserts in the world ?|What|What are|WP|VBP|VBP|LOC
Where is Qatar ?|Where|Where is|WRB|VBZ|VBZ|LOC
Why are peanut butter cookies topped with crisscrosses ?|Why|Why are|WRB|VBP|VBP|DESC
What is the richest state in the U.S. ?|What|What is|WP|VBZ|VBZ|LOC
Who is the prime minister in Norway ?|Who|Who is|WP|VBZ|VBZ|HUM
What is a urologist ?|What|What is|WP|VBZ|VBZ|DESC
What actress starred in '' The Lion in Winter '' ?|What|What actress|WDT|NN|VBD|HUM
What's bottled in jeroboams ?|What|What 's|WP|VBZ|VBZ|ENTY
Who won the rugby world cup in ?|Who|Who won|WP|VBD|VBD|HUM
What is Nicholas Cage's profession ?|What|What is|WP|VBZ|VBZ|HUM
How many times was pitcher , Warren Spahn , a 20-game winner in his 21 major league seasons ?|How|How many|WRB|JJ|VBD|NUM
How many pins are used in skittles ?|How|How many|WRB|JJ|VBN|NUM
What qualifications are there for individuals donating blood ?|What|What qualifications|WDT|NNS|VBP|DESC
What California bridge was Don Brown the first to cross , on May 27 , 1937 ?|What|What California|WP|NNP|VBD|LOC
Who is the famous sister of actress Olivia De Havilland ?|Who|Who is|WP|VBZ|VBZ|HUM
Which German president was pressured into appointing Hitler chancellor in 1933 ?|Which|Which German|WDT|JJ|VBN|HUM
How many people have been killed in wars , armed conflicts ?|How|How many|WRB|JJ|VBN|NUM
What is the history of the hairdryer ?|What|What is|WP|VBZ|VBZ|DESC
Which mammal lives , breeds , eats , and sleeps underground ?|Which|Which mammal|WDT|JJ|VBZ|ENTY
What trade did the 15th and 16th century Portuguese hope to control between Asia and Europe ?|What|What trade|WDT|NN|VBD|ENTY
What happened in the city of Dogtown in 1899 ?|What|What happened|WP|VBD|VBD|DESC
What was the largest city in the world to declare martial law in 1989 ?|What|What was|WP|VBD|VBD|LOC
What is a fear of sinning ?|What|What is|WP|VBZ|VBZ|ENTY
Where is the Thomas Edison Museum ?|Where|Where is|WRB|VBZ|VBZ|LOC
What was the first minimum wage ?|What|What was|WP|VBD|VBD|NUM
What is the name of the highest mountain in Africa ?|What|What is|WP|VBZ|VBZ|LOC
What mountain range extends from the Gulf of St. Lawrence to Alabama ?|What|What mountain|WDT|NN|VBZ|LOC
How many types of lemurs are there ?|How|How many|WRB|JJ|VBP|NUM
What are some colorful flowers that will bloom in the fall in New England ?|that|What are that will|WDT|MD|VBP|ENTY
What's the second-most-used murder weapon in the U.S. ?|What|What 's|WP|VBZ|VBZ|ENTY
What businesses or agencies would do an employment verification ?|What|What businesses|WDT|NNS|VB|HUM
What famous coach said '' if you can 't beat 'em in the alley , you can 't beat 'em on the ice '' ?|What|What famous|WDT|JJ|VBD|HUM
What onetime member of Ronald Reagan's cabinet called federal policy toward Indians '' an example of the failure of socialism '' ?|What|What onetime|WDT|JJ|VBN|HUM
How many claws has a lobster called a pistol lost ?|How|How many|WRB|JJ|VBZ|NUM
Who was Darth Vader's son ?|Who|Who was|WP|VBD|VBD|HUM
What are the four most widely-used languages in North America ?|What|What are|WP|VBP|VBP|ENTY
What war was fought by the Spanish as far as the Philippines ?|What|What war|WDT|NN|VBN|ENTY
How do you make a million bucks ?|How|How do|WRB|VBP|VB|DESC
Who invented the process to make condensed milk ?|Who|Who invented|WP|VBD|VBD|HUM
What is the largest city in Connecticut ?|What|What is|WP|VBZ|VBZ|LOC
What is the population of the United States ?|What|What is|WP|VBZ|VBZ|NUM
What actor and actress have made the most movies ?|What|What actor|WDT|NN|VBN|HUM
What is the definition of spamming ?|What|What is|WP|VBZ|VBZ|DESC
Who found Hawaii ?|Who|Who found|WP|VBD|VBD|HUM
What does IQ stand for ?|What|What does|WP|VBZ|VB|ABBR
Where can I find free piano scores for popular music ?|Where|Where can|WRB|MD|VB|LOC
When did the American Civil War end ?|When|When did|WRB|VBD|NN|NUM
What country is the largest diamond producer ?|What|What country|WP|NN|VBZ|LOC
How long does it take the moon to revolve around the Earth ?|How|How long|WRB|RB|VB|NUM
What beer is ' rockin ' America ? ''|What|What beer|WDT|NN|VBZ|ENTY
What is a fear of women ?|What|What is|WP|VBZ|VBZ|ENTY
Who protects DC Comics ' realm of dreams ?|Who|Who protects|WP|VBZ|VBZ|HUM
What are dinosaur droppings called ?|What|What are|WP|VBP|VBP|ENTY
What was the infamous feat of Germany's U-2 submarine ?|What|What was|WP|VBD|VBD|DESC
What Homerian epic chronicles events toward the end of the Trojan Wars ?|What|What Homerian|WP|NNP|NNS|ENTY
When did the vesuvius last erupt ?|When|When did|WRB|VBD|NN|NUM
What is widely used to detect prenatal birth defects ?|What|What is|WP|VBZ|VBN|ENTY
When did the supercontinent Pangaea break up ?|When|When did|WRB|VBD|VBD|NUM
What kind of mammal is a colt ?|What|What kind|WDT|NN|VBZ|ENTY
Who created Harry Lime ?|Who|Who created|WP|VBD|VBD|HUM
Why do many Native American students not complete college ?|Why|Why do|WRB|VBP|VB|DESC
What color are a cherry tree's flowers ?|What|What color|WDT|NN|VBP|ENTY
Who was President Cleveland's wife ?|Who|Who was|WP|VBD|VBD|HUM
What class of animals makes up more than two-thirds of known species ?|What|What class|WDT|NN|VBZ|ENTY
What was the name of Sergeant Preston of the Yukon's lead dog ?|What|What was|WP|VBD|VBD|ENTY
What film featured a snarly character named Kid Shelleen ?|What|What film|WDT|NN|VBD|ENTY
What company named one of its pens '' The Banana '' ?|What|What company|WDT|NN|VBD|HUM
What's the capital of Monaco ?|What|What 's|WP|VBZ|VBZ|LOC
What do Englishmen weigh themselves in ?|What|What do|WP|VBP|VB|NUM
How big is the Electoral College ?|How|How big|WRB|JJ|VBZ|NUM
What is it that walks on four legs , then on two legs , then on three ?|that|What is that walks|WDT|VBZ|VBZ|ENTY
What is the name of the 1919 occurrence in which British troops killed over 3 unarmed Indian protestors ?|which|What is which British|WDT|JJ|VBZ|ENTY
Who invented the Moog Synthesizer ?|Who|Who invented|WP|VBD|VBD|HUM
Who makes the '' Die Hard '' car battery ?|Who|Who makes|WP|VBZ|VBZ|HUM
How long does it take to travel from Tokyo to Niigata ?|How|How long|WRB|RB|VB|NUM
What state is the Filenes store located in ?|What|What state|WDT|NN|VBZ|LOC
How does a bill become law ?|How|How does|WRB|VBZ|VB|DESC
What is the starting salary of a radiographer ?|What|What is|WP|VBZ|VBZ|NUM
What is a disaccharide ?|What|What is|WP|VBZ|VBZ|DESC
Colin Powell is most famous for what ?|what|what ?|WP|.|VBZ|DESC
What star-faring race brought about the Inhumans on Marvel's Earth ?|What|What star|WDT|NN|NN|ENTY
How do you buy stocks ?|How|How do|WRB|VBP|VB|DESC
What does appropriates money mean ?|What|What does|WP|VBZ|VB|DESC
What is the name of Dolly Parton's rarely seen husband ?|What|What is|WP|VBZ|VBZ|HUM
Where is the official '' zero '' of the sea level ?|Where|Where is|WRB|VBZ|VBZ|LOC
How did former WWF wrestler Rick Rude die ?|How|How did|WRB|VBD|VBP|DESC
Who wrote the lyrics to Porgy and Bess ?|Who|Who wrote|WP|VBD|VBD|HUM
What is a '' False Moon '' ?|What|What is|WP|VBZ|VBZ|DESC
What 1976 Deep Throat clone provides the leading lady with a second larynx ?|What|What 1976|WP|CD|VBZ|ENTY
What line of luggage is named after a famous American flier ?|What|What line|WDT|NN|VBN|ENTY
What is a word whose letters can be rearranged to form a different word ?|whose|What is whose letters|WP$|NNS|VBZ|ENTY
What chapter of Gone with the Wind has Rhett Butler leaving Scarlett O 'Hara ?|What|What chapter|WDT|NN|VBZ|NUM
How many American actors were nominated for the best actor Oscar for 1983 ?|How|How many|WRB|JJ|VBN|NUM
When did Lucelly Garcia , a former ambassador of Columbia to Honduras , die ?|When|When did|WRB|VBD|VB|NUM
In Hemingway's '' Old Man and the Sea , '' what kind of fish does the old man catch ?|what|what kind|WDT|NN|VB|ENTY
How long was the longest sneezing attack ?|How|How long|WRB|JJ|VBD|NUM
How can I get rich quick ?|How|How can|WRB|MD|VB|DESC
How is the word ' qigong ' pronounced ?|How|How is|WRB|VBZ|VBN|DESC
What program do I need to run a .tbk file ?|What|What program|WDT|NN|VB|ENTY
What is the seafaring name for the southern tip of South America ?|What|What is|WP|VBZ|VBZ|LOC
What two New York Yankee pitchers swapped wives and families ?|What|What two|WP|CD|VBD|HUM
What are the 10 plagues of Egypt ?|What|What are|WP|VBP|VBP|ENTY
What is the history of Hot Wheels cars , and how are they produced ?|how|What is how are|WRB|VBP|VBZ|DESC
What is the rounded part on the top of a matchbook called ?|What|What is|WP|VBZ|VBZ|ENTY
When did Nixon visit China ?|When|When did|WRB|VBD|VB|NUM
What's the third month of the Gregorian calendar ?|What|What 's|WP|VBZ|VBZ|NUM
What country owns Corsica ?|What|What country|WP|NN|VBZ|LOC
How many queen bees reign in a hive ?|How|How many|WRB|JJ|VBP|NUM
What sport features slotbacks , tailbacks , and touchbacks ?|What|What sport|WDT|NN|VBZ|ENTY
What meat complemented sweet potatoes and peas in the first TV dinner ?|What|What meat|WP|NN|VBD|ENTY
What is RAM in the computer ?|What|What is|WP|VBZ|VBZ|ABBR
What is a '' repeating voter '' ?|What|What is|WP|VBZ|VBZ|DESC
What are dingoes ?|What|What are|WP|VBP|VBP|DESC
Where can I find a world atlas map online at no charge ?|Where|Where can|WRB|MD|VB|LOC
What Leoncavallo opera features a prologue by a clown ?|What|What Leoncavallo|WP|NNP|VBZ|ENTY
How can I get someone's email address ?|How|How can|WRB|MD|VB|DESC
What chapter of the Bible has the most verses ?|What|What chapter|WDT|NN|VBZ|NUM
What ocean did the Titanic sink in ?|What|What ocean|WDT|NN|VBD|LOC
How did P.T. Barnum bill the diminutive Charles S. Stratton ?|How|How did|WRB|VBD|NN|DESC
In what year was the Wall built ?|what|what year|WDT|NN|VBD|NUM
What southwestern state is dubbed The Silver State ?|What|What southwestern|WDT|JJ|VBN|LOC
What are pomegranates ?|What|What are|WP|VBP|VBP|DESC
Why do pharmacists work on raised floors ?|Why|Why do|WRB|VBP|VB|DESC
What does Robin Williams do ?|What|What does|WP|VBZ|VB|HUM
What country did the Allies invade in World War II's Operation Avalanche ?|What|What country|WP|NN|VBP|LOC
What famed river was Hernando de Soto the first European to see ?|What|What famed|WDT|JJ|VBD|LOC
What chess outcome results when a player has no legal move ?|when|What chess when a|WRB|DT|NNS|ENTY
How do they find an epicenter ?|How|How do|WRB|VBP|VB|DESC
When was Christ born ?|When|When was|WRB|VBD|VBN|NUM
Where do quality drinks begin ?|Where|Where do|WRB|VBP|VB|LOC
In order from the top , the four stripes on a can of Pepsi are what colors ?|what|what colors|WP|NNS|VBP|ENTY
What kind of substance is dextropropoxyphen napsylate ?|What|What kind|WDT|NN|VBZ|ENTY
Who is the French literary charcter who is chiefly famous for his enormous nose ?|who|Who is who is|WP|VBZ|VBZ|HUM
What were first used by John L. Sullivan and James J. Corbett in 1892 ?|What|What were|WP|VBD|VBN|ENTY
What country surrounds San Marino , the world's smallest Republic ?|What|What country|WDT|NN|VBZ|LOC
Who killed Martin Luther King ?|Who|Who killed|WP|VBD|VBD|HUM
Who owns the rights on a TV program ?|Who|Who owns|WP|VBZ|VBZ|HUM
What did Cool Hand Luke go to jail for ?|What|What did|WP|VBD|VB|DESC
What was the V-8 Juice slogan : '' the tastebud '' ?|What|What was|WP|VBD|VBD|DESC
What was Mae West's last film ?|What|What was|WP|VBD|VBD|ENTY
What letter does Gorbachev's middle name start with ?|What|What letter|WDT|NN|VBP|ENTY
Who invented Astroturf ?|Who|Who invented|WP|VBD|VBD|HUM
What makes you fat ?|What|What makes|WP|VBZ|VBZ|DESC
What season does a hiemal activity normally take place in ?|What|What season|WDT|NN|VB|NUM
What direction do the best surfing beaches face ?|What|What direction|WDT|NN|VBP|LOC
What is the world record for the longest hair ?|What|What is|WP|VBZ|VBZ|NUM
What English word contains the most letters ?|What|What English|WDT|JJ|VBZ|ENTY
How do I know if I 'm jealous of someone ?|How|How do|WRB|VBP|VB|DESC
What Democratic prankster waved the train out of the station while Richard Nixon spoke from the caboose ?|What|What Democratic|WP|JJ|VBD|HUM
How does James Bond like his martinis ?|How|How does|WRB|VBZ|NNP|DESC
What California bay's largest island is Angel Island ?|What|What California|WP|NNP|VBZ|LOC
What was the name of the flight that Fawaz Younis hijacked ?|that|What was that Fawaz|WDT|NNP|VBD|ENTY
What former African leader held his country's boxing title for nine years ?|What|What former|WDT|JJ|VBD|HUM
